Index,Variable,Question #,Variable Name,Source Variables,Description,Type,Location,Length,22,21,20,19
0,1,,RECTYPE,,Record type,Num,1 - 2,2,x,x,x,x
1,2,,SRVY_YR,,Year of the National Health Interview Survey,Num,3 - 6,4,x,x,x,x
2,3,,HHX,,Randomly assigned household number unique to a household,Char,7 - 13,7,x,x,x,x
3,4,,WTFA_A,,Weight - Final Annual,Num,14 - 23,10,x,x,x,x
4,1,Recode,URBRRL,,2013 NCHS Urban-Rural Classification Scheme for Counties,Num,24,1,x,x,x,x
5,2,,REGION,,Household region,Num,25,1,x,x,x,x
6,3,,PSTRAT,,Pseudo-stratum for public-use file variance estimation,Num,26 - 28,3,x,x,x,x
7,4,,PPSU,,Pseudo-PSU for public-use file variance estimation,Num,29 - 31,3,x,x,x,x
8,1,GEN.0650.00.1,HHRESPSA_FLG,,"Sample Adult is the household respondent or the proxywho lives in the household",Num,32,1,x,x,x,x
9,1,,INTV_QRT,,Interview quarter,Num,33,1,x,x,x,x
10,2,,INTV_MON,,Interview month,Num,34 - 35,2,x,x,x,
11,3,GEN.0540.00.1,HHSTAT_A,,Indicates person is the Sample Adult,Num,36,1,x,x,x,x
12,4,Recode,ASTATNEW,,Recoded ASTAT,Num,37,1,x,x,x,x
13,5,VFY.0020.00.1,AVAIL_A,,Sample Adult Available,Num,38,1,x,x,x,x
14,6,VFY.0030.00.1,PROXY_A,,Proxy Available,Num,39,1,x,x,x,x
15,7,VFY.0040.00.1,PROXYREL_A,,Proxy's Relationship to Sample Adult,Num,40,1,x,x,x,x
16,1,,SEX_A,,Sex of Sample Adult,Num,41,1,x,x,x,x
17,2,,AGEP_A,,Age of SA (top coded),Num,42 - 43,2,x,x,x,x
18,3,HHC.0240.00.1,AGE65,,Age 65 or older,Num,44,1,x,x,x,x
19,4,Recode,HISP_A,HISP_FINAL,Recode: Hispanic ethnicity of SA,Num,45,1,x,x,x,x
20,5,Recode,HISPALLP_A,"NATORG; RACE;RACE_SP; RACE_VRBAT,RACEFULL, HISP_FINAL",Single and multiple race groups with Hispanic origin,Num,46 - 47,2,x,x,x,x
21,6,Recode,RACEALLP_A,RACAEFULL,Single and multiple race groups,Num,48,1,x,x,x,x
22,7,Recode,HISDETP_A,"HISP_FINAL;HISPTYPE01_A -HISPTYPE07_A",Hispanic origin detail,Num,49,1,x,x,x,x
23,8,HHC.0330.00.1,AFNOW,,Full-time active duty screener,Num,50,1,x,x,x,x
24,9,Recode,EDUCP_A,,Educational level of sample adult,Num,51 - 52,2,x,x,,
25,10,Recode,PCNTLT18TC,,Top-coded count of persons under 18 in the household,Num,53,1,x,x,x,x
26,11,Recode,PCNT18UPTC,,Top-coded count of persons 18 or older in the household,Num,54,1,x,x,x,x
27,1,Recode,PCNTADLT_A,PCNTADLTI_A,"Number of adults in Sample Adult family, top-coded 3+",Num,55,1,x,x,x,x
28,2,Recode,PCNTKIDS_A,PCNTKIDSI_A,"Number of children in Sample Adult family, top-coded 3+",Num,56,1,x,x,x,x
29,3,Recode,OVER65FLG_A,"AGE_FINAL; AGEGUESS;AGE18; FAMILYA_FLG",Indicator for at least 1 person aged 65+ in SA family,Num,57,1,x,x,x,x
30,4,Recode,MLTFAMFLG_A,ONEFAM_FLG; TOTPERS,Indicator for multifamily households,Num,58,1,x,x,x,x
31,5,Recode,MAXEDUCP_A,"EDUC; AGE18PLUS;FAMILYA_FLG;HHSTAT_A","Highest level of education of all the adults in the SA'sfamily",Num,59 - 60,2,x,x,,
32,1,HIS.0010.00.1,PHSTAT_A,,General health status,Num,61,1,x,x,x,x
33,1,LSF.0010.00.3,LSATIS4_A,,Life satisfaction/dissatisfaction,Num,62,1,x,,,
34,1,HYP.0020.00.1,HYPEV_A,,Ever been told you had hypertension,Num,63,1,x,x,x,x
35,2,HYP.0030.00.1,HYPDIF_A,,Told had hypertension on two or more visits,Num,64,1,x,x,x,x
36,3,HYP.0040.00.1,HYP12M_A,,"Hypertension, past 12 months",Num,65,1,x,x,x,x
37,4,HYP.0050.00.1,HYPMED_A,,Now taking high blood pressure medication,Num,66,1,x,x,x,x
38,1,CHL.0010.00.1,CHLEV_A,,Ever told you had high cholesterol,Num,67,1,x,x,x,x
39,2,CHL.0020.00.1,CHL12M_A,,"High cholesterol, past 12 months",Num,68,1,x,x,x,x
40,3,CHL.0030.00.1,CHLMED_A,,Now taking cholesterol medication,Num,69,1,x,x,x,x
41,1,CVC.0010.00.1,CHDEV_A,,Ever been told you had coronary heart disease,Num,70,1,x,x,x,x
42,2,CVC.0020.00.1,ANGEV_A,,Ever been told you had angina,Num,71,1,x,x,x,x
43,3,CVC.0030.00.1,MIEV_A,,Ever been told you had a heart attack,Num,72,1,x,x,x,x
44,4,CVC.0040.00.1,STREV_A,,Ever been told you had a stroke,Num,73,1,x,x,x,x
45,1,AST.0010.00.1,ASEV_A,,Ever had asthma,Num,74,1,x,x,x,x
46,2,AST.0020.00.1,ASTILL_A,,Still have asthma,Num,75,1,x,x,x,x
47,3,AST.0030.00.1,ASAT12M_A,,Asthma episode,Num,76,1,x,x,x,x
48,4,AST.0040.00.1,ASER12M_A,,Asthma ER visit,Num,77,1,x,x,x,x
49,1,CAN.0010.00.1,CANEV_A,,Ever been told you had cancer,Num,78,1,x,x,x,x
50,2,Recode,BLADDCAN_A,"CANKIND1_A-CANKIND3_A",Bladder cancer mentioned,Num,79,1,x,x,x,x
51,3,Recode,BLADDAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had bladder cancer,Num,80 - 81,2,x,x,x,x
52,4,Recode,BLOODCAN_A,"CANKIND1_A-CANKIND3_A",Blood cancer mentioned,Num,82,1,x,x,x,x
53,5,Recode,BLOODAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had blood cancer,Num,83 - 84,2,x,x,x,x
54,6,Recode,BONECAN_A,"CANKIND1_A-CANKIND3_A",Bone cancer mentioned,Num,85,1,x,x,x,x
55,7,Recode,BONEAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had bone cancer,Num,86 - 87,2,x,x,x,x
56,8,Recode,BRAINCAN_A,"CANKIND1_A-CANKIND3_A",Brain cancer mentioned,Num,88,1,x,x,x,x
57,9,Recode,BRAINAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had brain cancer,Num,89 - 90,2,x,x,x,x
58,10,Recode,BREASCAN_A,"CANKIND1_A-CANKIND3_A",Breast cancer mentioned,Num,91,1,x,x,x,x
59,11,Recode,BREASAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had breast cancer,Num,92 - 93,2,x,x,x,x
60,12,Recode,CERVICAN_A,"CANKIND1_A-CANKIND3_A",Cervical cancer mentioned,Num,94,1,x,x,x,x
61,13,Recode,CERVIAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had cervical cancer,Num,95 - 96,2,x,x,x,x
62,14,Recode,COLONCAN_A,"CANKIND1_A-CANKIND3_A",Colon cancer mentioned,Num,97,1,x,x,x,x
63,15,Recode,COLONAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had colon cancer,Num,98 - 99,2,x,x,x,x
64,16,Recode,ESOPHCAN_A,"CANKIND1_A-CANKIND3_A",Esophageal cancer mentioned,Num,100,1,x,x,x,x
65,17,Recode,ESOPHAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had esophageal cancer,Num,101 - 102,2,x,x,x,x
66,18,Recode,GALLBCAN_A,"CANKIND1_A-CANKIND3_A",Gallbladder cancer mentioned,Num,103,1,x,x,x,x
67,19,Recode,GALLBAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had gallbladder cancer,Num,104 - 105,2,x,x,x,x
68,20,Recode,LARYNCAN_A,"CANKIND1_A-CANKIND3_A",Larynx-trachea cancer mentioned,Num,106,1,x,x,x,x
69,21,Recode,LARYNAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had larynx-trachea cancer,Num,107 - 108,2,x,x,x,x
70,22,Recode,LEUKECAN_A,"CANKIND1_A-CANKIND3_A",Leukemia mentioned,Num,109,1,x,x,x,x
71,23,Recode,LEUKEAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had leukemia,Num,110 - 111,2,x,x,x,x
72,24,Recode,LIVERCAN_A,"CANKIND1_A-CANKIND3_A",Liver cancer mentioned,Num,112,1,x,x,x,x
73,25,Recode,LIVERAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had liver cancer,Num,113 - 114,2,x,x,x,x
74,26,Recode,LUNGCAN_A,"CANKIND1_A-CANKIND3_A",Lung cancer mentioned,Num,115,1,x,x,x,x
75,27,Recode,LUNGAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had lung cancer,Num,116 - 117,2,x,x,x,x
76,28,Recode,LYMPHCAN_A,"CANKIND1_A-CANKIND3_A",Lymphoma cancer mentioned,Num,118,1,x,x,x,x
77,29,Recode,LYMPHAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had lymphoma,Num,119 - 120,2,x,x,x,x
78,30,Recode,MELANCAN_A,"CANKIND1_A-CANKIND3_A",Melanoma cancer mentioned,Num,121,1,x,x,x,x
79,31,Recode,MELANAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had melanoma cancer,Num,122 - 123,2,x,x,x,x
80,32,Recode,MOUTHCAN_A,"CANKIND1_A-CANKIND3_A","Mouth, tongue or lip cancer mentioned",Num,124,1,x,x,x,x
81,33,Recode,MOUTHAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A","Age when first told had mouth, tongue or lip cancer",Num,125 - 126,2,x,x,x,x
82,34,Recode,OVARYCAN_A,"CANKIND1_A-CANKIND3_A",Ovarian cancer mentioned,Num,127,1,x,x,x,x
83,35,Recode,OVARYAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had ovarian cancer,Num,128 - 129,2,x,x,x,x
84,36,Recode,PANCRCAN_A,"CANKIND1_A-CANKIND3_A",Pancreatic cancer mentioned,Num,130,1,x,x,x,x
85,37,Recode,PANCRAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had pancreatic cancer,Num,131 - 132,2,x,x,x,x
86,38,Recode,PROSTCAN_A,"CANKIND1_A-CANKIND3_A",Prostate cancer mentioned,Num,133,1,x,x,x,x
87,39,Recode,PROSTAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had prostate cancer,Num,134 - 135,2,x,x,x,x
88,40,Recode,RECTUCAN_A,"CANKIND1_A-CANKIND3_A",Rectal cancer mentioned,Num,136,1,x,x,x,x
89,41,Recode,RECTUAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had rectal cancer,Num,137 - 138,2,x,x,x,x
90,42,Recode,SKNMCAN_A,"CANKIND1_A-CANKIND3_A",Skin melanoma cancer mentioned,Num,139,1,x,x,x,x
91,43,Recode,SKNMAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had skin melanoma cancer,Num,140 - 141,2,x,x,x,x
92,44,Recode,SKNNMCAN_A,"CANKIND1_A-CANKIND3_A",Skin non-melanoma cancer mentioned,Num,142,1,x,x,x,x
93,45,Recode,SKNNMAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A- CANAGE3_A",Age when first told skin non-melanoma cancer,Num,143 - 144,2,x,x,x,x
94,46,Recode,SKNDKCAN_A,"CANKIND1_A-CANKIND3_A",Skin cancer (don't know what kind) mentioned,Num,145,1,x,x,x,x
95,47,Recode,SKNDKAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A","Age when first told had skin cancer (don't know whatkind)",Num,146 - 147,2,x,x,x,x
96,48,Recode,STOMACAN_A,"CANKIND1_A-CANKIND3_A",Stomach cancer mentioned,Num,148,1,x,x,x,x
97,49,Recode,STOMAAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had stomach cancer,Num,149 - 150,2,x,x,x,x
